member_id,birth_date,hire_date,prior_termination_date,rehire_date,termination_date,retirement_date,plan_tier,survivor_option
MBR-00056,1946-08-21,1971-01-09,,,2006-07-01,2006-07-01,lay,none
MBR-00057,1949-09-21,1979-08-28,,,2019-10-01,2019-10-01,lay,none
MBR-00058,1962-06-10,1993-12-17,,,2025-10-01,2025-10-01,lay,js50
MBR-00059,1961-08-25,1985-10-14,,,,,clergy,js50
MBR-00060,1962-12-06,1991-11-05,,,2031-05-01,2031-05-01,clergy,js50
MBR-00061,1971-05-03,2008-07-05,,,2039-01-01,2039-01-01,clergy,js50
MBR-00062,1949-06-06,1980-11-04,,,,,clergy,js100
MBR-00063,1951-07-21,1987-03-01,,,,,clergy,js50
MBR-00064,1969-02-15,1998-02-14,,,2036-10-01,2036-10-01,lay,js100
MBR-00065,1962-04-02,1998-11-01,,,2027-02-01,2027-02-01,clergy,js100
MBR-00066,1965-07-07,2001-05-21,,,,,clergy,none
MBR-00067,1951-02-17,1986-04-08,,,2016-11-01,2016-11-01,clergy,none
MBR-00068,1964-06-20,1998-02-22,,,2031-05-01,2031-05-01,lay,js50
MBR-00069,1966-12-22,1992-11-18,,,2026-11-01,2026-11-01,clergy,none
MBR-00070,1959-01-16,1993-09-10,,,2023-07-01,2023-07-01,lay,js50
MBR-00071,1951-01-20,1994-08-23,,,2017-12-01,2017-12-01,clergy,js100
MBR-00072,1962-04-17,1992-10-22,,,2033-07-01,2033-07-01,clergy,js50
MBR-00073,1963-05-04,1994-06-12,,,,,lay,js100
MBR-00074,1958-05-09,1998-10-07,,,2021-04-01,2021-04-01,clergy,js100
MBR-00075,1953-10-10,1991-12-10,,,2023-06-01,2023-06-01,clergy,js100
MBR-00076,1957-12-24,1983-02-17,,,,,clergy,js50
MBR-00077,1946-07-20,1977-10-13,,,2009-05-01,2009-05-01,clergy,js100
MBR-00078,1962-02-06,1991-08-02,,,2025-10-01,2025-10-01,clergy,none
MBR-00079,1953-01-03,1981-04-16,,,2019-12-01,2019-12-01,clergy,js50
MBR-00080,1963-08-27,2001-08-26,,,2029-02-01,2029-02-01,lay,js50
MBR-00081,1946-04-26,1978-12-07,,,2007-12-01,2007-12-01,clergy,none
MBR-00082,1969-10-21,2007-08-27,,,2036-10-01,2036-10-01,clergy,none
MBR-00083,1964-11-24,1989-12-04,,,2027-10-01,2027-10-01,clergy,js100
MBR-00084,1955-12-12,1988-01-02,,,2019-03-01,2019-03-01,clergy,js50
MBR-00085,1953-09-11,1979-01-12,,,,,clergy,none
MBR-00086,1972-08-06,2005-11-03,,,,,lay,none
MBR-00087,1953-01-14,1990-05-04,,,2015-04-01,2015-04-01,lay,js50
MBR-00088,1954-05-20,1980-10-12,,,,,lay,none
MBR-00089,1959-12-08,1983-01-15,,,2028-11-01,2028-11-01,clergy,js50
MBR-00090,1966-03-27,2001-02-27,,,,,lay,none
MBR-00091,1974-02-07,2009-05-03,,,,,lay,js100
MBR-00092,1968-01-18,2009-05-13,,,,,lay,js100
MBR-00093,1947-10-19,1971-05-13,,,2008-09-01,2008-09-01,lay,none
MBR-00094,1971-01-01,1998-01-15,,,,,clergy,js100
MBR-00095,1969-09-08,1998-01-10,,,,,lay,js50
MBR-00096,1946-09-05,1970-05-03,,,2013-04-01,2013-04-01,clergy,none
MBR-00097,1948-01-18,1973-08-24,,,2009-07-01,2009-07-01,lay,none
MBR-00098,1948-01-03,1989-02-26,,,2017-11-01,2017-11-01,lay,js100
MBR-00099,1963-09-24,2004-06-09,,,2026-03-01,2026-03-01,clergy,js100
MBR-00100,1965-11-23,1996-07-25,,,2035-05-01,2035-05-01,clergy,js100
MBR-00101,1967-10-12,1991-11-08,,,2037-07-01,2037-07-01,clergy,js100
MBR-00102,1962-12-21,1988-05-02,,,2025-02-01,2025-02-01,clergy,js100
MBR-00103,1949-11-02,1984-07-22,,,2012-11-01,2012-11-01,lay,none
MBR-00104,1953-12-17,1994-08-01,,,2016-07-01,2016-07-01,clergy,js100
MBR-00105,1971-05-18,2005-05-20,,,2038-05-01,2038-05-01,clergy,js100
MBR-00106,1957-09-24,1998-12-13,,,2027-10-01,2027-10-01,clergy,js50
MBR-00107,1966-05-16,2006-10-23,,,2035-08-01,2035-08-01,lay,js50
MBR-00108,1973-07-20,2007-01-13,,,,,lay,js50
MBR-00109,1955-01-24,1979-11-20,,,2024-04-01,2024-04-01,clergy,none
MBR-00110,1959-01-04,1999-07-23,,,2023-09-01,2023-09-01,lay,js100
MBR-00111,1966-03-04,1990-11-18,,,2037-09-01,2037-09-01,lay,js100
MBR-00112,1966-06-05,2001-01-06,,,2035-03-01,2035-03-01,clergy,none
MBR-00113,1955-06-24,1995-01-10,,,2015-07-01,2015-07-01,clergy,none
MBR-00114,1950-02-26,1980-05-18,,,2015-12-01,2015-12-01,clergy,js100
MBR-00115,1971-01-01,2001-04-20,,,2033-05-01,2033-05-01,clergy,js50
MBR-00116,1969-11-03,2005-06-16,,,2031-02-01,2031-02-01,lay,js100
MBR-00117,1952-08-20,1978-06-19,,,2016-11-01,2016-11-01,lay,js50
MBR-00118,1973-06-24,2008-08-18,,,2040-08-01,2040-08-01,lay,none
MBR-00119,1955-04-25,1984-07-13,,,2020-05-01,2020-05-01,clergy,js100
MBR-00120,1967-08-08,2009-04-21,,,,,clergy,js50
MBR-00121,1965-12-14,2003-03-28,,,,,clergy,none
MBR-00122,1947-02-18,1985-02-15,,,2014-02-01,2014-02-01,lay,none
MBR-00123,1952-07-03,1989-10-07,,,2016-09-01,2016-09-01,clergy,js100
MBR-00124,1975-04-18,2014-04-27,,,2042-04-01,2042-04-01,clergy,js100
MBR-00125,1950-11-19,1992-07-06,,,2017-03-01,2017-03-01,lay,none
MBR-00126,1954-01-24,1992-01-04,,,,,clergy,js100
MBR-00127,1962-10-09,1995-02-26,,,2028-06-01,2028-06-01,lay,js100
MBR-00128,1958-01-13,1984-11-22,,,2019-05-01,2019-05-01,lay,none
MBR-00129,1957-08-01,1990-06-01,,,,,lay,none
MBR-00130,1971-05-23,2007-01-27,,,,,clergy,js50
MBR-00131,1975-09-10,2006-02-06,,,2043-04-01,2043-04-01,clergy,js100
MBR-00132,1973-03-28,2016-08-20,,,2043-10-01,2043-10-01,clergy,js50
MBR-00133,1963-07-05,1992-10-27,,,2027-04-01,2027-04-01,lay,js50
MBR-00134,1947-12-16,1986-11-20,,,2018-05-01,2018-05-01,clergy,js50
MBR-00135,1965-11-16,1991-04-27,,,2026-07-01,2026-07-01,clergy,js50
MBR-00136,1958-11-23,2000-06-24,,,,,clergy,none
MBR-00137,1961-06-23,2004-08-04,,,2026-06-01,2026-06-01,lay,js50
MBR-00138,1955-07-15,1987-08-20,,,2016-09-01,2016-09-01,clergy,js100
MBR-00139,1955-02-28,1984-05-17,,,2020-06-01,2020-06-01,clergy,none
MBR-00140,1949-09-07,1980-07-18,,,2017-11-01,2017-11-01,clergy,js50
MBR-00141,1968-07-02,2007-11-01,,,2031-11-01,2031-11-01,lay,none
MBR-00142,1968-10-09,1994-05-20,,,2028-09-01,2028-09-01,clergy,js100
MBR-00143,1969-03-11,1997-06-05,,,2034-12-01,2034-12-01,clergy,js50
MBR-00144,1966-03-08,1998-06-22,,,2032-05-01,2032-05-01,lay,none
MBR-00145,1961-02-23,1997-10-10,,,,,lay,js50
MBR-00146,1949-02-17,1973-02-28,,,2013-10-01,2013-10-01,lay,none
MBR-00147,1969-08-09,2002-04-09,,,2038-03-01,2038-03-01,clergy,js50
MBR-00148,1948-03-18,1972-12-02,,,2013-08-01,2013-08-01,clergy,js50
MBR-00149,1962-08-12,1994-01-07,,,,,lay,js50
MBR-00150,1975-04-23,2008-08-23,,,2035-09-01,2035-09-01,clergy,js50
MBR-00151,1975-04-23,2005-02-28,,,,,lay,js50
MBR-00152,1966-11-23,1998-10-19,,,2032-05-01,2032-05-01,lay,js100
MBR-00153,1948-02-08,1978-07-08,,,2010-07-01,2010-07-01,lay,js50
MBR-00154,1969-09-22,2012-09-20,,,2037-04-01,2037-04-01,clergy,none
MBR-00155,1975-05-03,2000-01-04,,,2045-12-01,2045-12-01,clergy,js100
MBR-00156,1962-12-18,1998-11-05,,,2033-06-01,2033-06-01,clergy,none
MBR-00157,1968-09-18,2008-11-10,,,,,clergy,js50
MBR-00158,1958-12-24,1984-08-21,,,2026-01-01,2026-01-01,clergy,js50
MBR-00159,1965-02-09,1996-07-25,,,2028-04-01,2028-04-01,clergy,js50
MBR-00160,1973-01-26,2016-09-01,,,,,lay,js100
MBR-00161,1957-05-05,1994-01-26,,,,,clergy,js50
MBR-00162,1967-02-17,1991-07-13,,,2029-10-01,2029-10-01,lay,none
MBR-00163,1969-06-02,2005-08-15,,,2037-11-01,2037-11-01,lay,js50
MBR-00164,1946-01-26,1977-08-20,,,,,clergy,js50
MBR-00165,1966-07-06,1995-07-23,,,2037-03-01,2037-03-01,clergy,js50
MBR-00166,1952-09-23,1995-09-07,,,2019-12-01,2019-12-01,lay,js50
MBR-00167,1949-05-26,1985-11-16,,,,,clergy,js50
MBR-00168,1949-07-07,1991-02-21,,,,,clergy,js100
MBR-00169,1968-03-28,2009-10-04,,,,,lay,none
MBR-00170,1963-12-12,1989-09-25,,,2025-12-01,2025-12-01,lay,js50
MBR-00171,1959-02-07,1993-09-03,,,2025-08-01,2025-08-01,clergy,js50
MBR-00172,1956-09-09,1991-04-10,,,,,clergy,js100
MBR-00173,1957-08-08,1992-03-21,,,2026-12-01,2026-12-01,clergy,js100
MBR-00174,1955-12-24,1981-02-17,,,2018-11-01,2018-11-01,lay,js50
MBR-00175,1959-10-13,2000-08-25,,,2019-08-01,2019-08-01,lay,js50
MBR-00176,1958-01-19,1995-01-23,,,,,clergy,none
MBR-00177,1966-01-04,2006-05-18,,,2032-05-01,2032-05-01,clergy,none
MBR-00178,1960-07-17,1996-10-09,,,2023-04-01,2023-04-01,clergy,none
MBR-00179,1958-11-10,1991-11-02,,,2022-01-01,2022-01-01,clergy,js100
MBR-00180,1963-05-26,1997-03-13,,,,,clergy,js100
MBR-00181,1948-05-10,1974-07-08,,,2013-03-01,2013-03-01,lay,none
MBR-00182,1950-10-14,1993-07-12,,,2011-04-01,2011-04-01,clergy,js50
MBR-00183,1953-06-26,1995-11-04,,,,,lay,js50
MBR-00184,1953-04-09,1986-01-06,,,2019-02-01,2019-02-01,lay,js50
MBR-00185,1959-09-13,2002-03-21,,,2022-02-01,2022-02-01,clergy,js50
MBR-00186,1973-09-03,2006-10-04,,,2035-08-01,2035-08-01,clergy,js50
MBR-00187,1946-10-02,1981-07-03,,,2013-04-01,2013-04-01,lay,none
MBR-00188,1968-07-20,2004-09-24,,,2033-04-01,2033-04-01,clergy,js50
MBR-00189,1947-09-19,1977-03-27,,,2017-09-01,2017-09-01,lay,js100
MBR-00190,1965-02-08,1991-11-09,,,2033-09-01,2033-09-01,lay,none
MBR-00191,1975-01-12,2015-04-09,,,2041-10-01,2041-10-01,clergy,js100
MBR-00192,1956-05-27,1993-11-23,,,,,clergy,none
MBR-00193,1971-10-03,1999-02-16,,,,,clergy,js50
MBR-00194,1962-02-02,2001-07-11,,,,,clergy,js100
MBR-00195,1975-10-07,1999-01-27,,,2036-08-01,2036-08-01,clergy,js50
MBR-00196,1966-04-15,1996-11-16,,,2034-04-01,2034-04-01,clergy,none
MBR-00197,1959-01-04,1983-08-25,,,2020-11-01,2020-11-01,clergy,js50
MBR-00198,1949-09-17,1980-11-02,,,2010-08-01,2010-08-01,clergy,js50
MBR-00199,1970-07-27,2002-05-06,,,2034-10-01,2034-10-01,clergy,none
MBR-00200,1948-04-12,1984-03-14,,,2016-11-01,2016-11-01,lay,none
MBR-00201,1953-01-07,1987-03-20,,,,,clergy,none
MBR-00202,1953-12-27,1988-10-01,,,2021-02-01,2021-02-01,lay,js100
MBR-00203,1969-11-08,2007-04-18,,,2036-08-01,2036-08-01,lay,none
MBR-00204,1967-01-23,2009-05-10,,,2029-09-01,2029-09-01,clergy,js50
MBR-00205,1960-04-28,2002-08-17,,,2028-12-01,2028-12-01,clergy,js50
MBR-00206,1973-01-22,2006-02-01,,,2037-06-01,2037-06-01,lay,js50
MBR-00207,1961-06-24,2002-10-28,,,2029-10-01,2029-10-01,clergy,none
MBR-00208,1946-01-28,1974-08-17,,,,,clergy,none
MBR-00209,1952-02-07,1982-04-19,,,2017-10-01,2017-10-01,lay,js50
MBR-00210,1972-01-21,2003-05-24,,,,,lay,none
MBR-00211,1950-09-05,1986-12-11,,,,,lay,none
MBR-00212,1974-06-09,2013-02-02,,,2042-10-01,2042-10-01,clergy,none
MBR-00213,1959-03-22,1997-02-13,,,2027-02-01,2027-02-01,clergy,none
MBR-00214,1974-11-05,2016-12-16,,,,,lay,none
MBR-00215,1953-11-26,1991-10-04,,,2018-12-01,2018-12-01,clergy,none
MBR-00216,1959-03-21,1998-01-23,,,,,lay,none
MBR-00217,1972-05-25,2015-10-13,,,,,clergy,none
MBR-00218,1957-03-23,1981-01-19,,,2018-08-01,2018-08-01,clergy,js50
MBR-00219,1968-06-28,1999-03-08,,,2038-10-01,2038-10-01,lay,js50
MBR-00220,1959-10-21,2001-10-28,,,2020-09-01,2020-09-01,clergy,js50
MBR-00221,1971-08-01,1996-11-24,,,2041-05-01,2041-05-01,lay,js50
MBR-00222,1965-06-11,1993-02-27,,,2035-06-01,2035-06-01,clergy,js100
MBR-00223,1958-07-24,1985-01-12,,,2028-04-01,2028-04-01,clergy,js50
MBR-00224,1948-07-21,1985-05-13,,,2016-02-01,2016-02-01,clergy,js100
MBR-00225,1968-05-04,2010-01-09,,,2038-11-01,2038-11-01,clergy,js50
MBR-00226,1946-05-20,1971-07-20,,,2012-08-01,2012-08-01,clergy,js100
MBR-00227,1971-06-13,1999-04-06,,,,,clergy,js100
MBR-00228,1950-09-05,1988-09-25,,,,,lay,js100
MBR-00229,1973-05-25,2011-01-02,,,2038-07-01,2038-07-01,clergy,none
MBR-00230,1947-03-27,1986-01-17,,,,,lay,js50
MBR-00231,1975-10-18,2001-11-10,,,2041-07-01,2041-07-01,lay,none
MBR-00232,1963-03-24,1998-10-17,,,,,clergy,js50
MBR-00233,1960-11-03,2002-05-21,,,2021-06-01,2021-06-01,clergy,none
MBR-00234,1970-10-21,2002-10-18,,,2039-07-01,2039-07-01,lay,js50
MBR-00235,1965-04-21,1989-10-14,,,2027-05-01,2027-05-01,clergy,js50
MBR-00236,1946-09-09,1976-07-10,,,2010-12-01,2010-12-01,clergy,js100
MBR-00237,1968-03-06,1994-09-08,,,2030-02-01,2030-02-01,clergy,js50
MBR-00238,1965-07-09,1994-10-28,,,2030-08-01,2030-08-01,lay,js100
MBR-00239,1947-03-18,1981-05-14,,,2007-11-01,2007-11-01,clergy,js50
MBR-00240,1959-06-02,1993-01-25,,,,,lay,js100
MBR-00241,1975-03-19,2001-12-08,,,,,lay,js50
MBR-00242,1969-03-11,1996-09-22,,,,,clergy,js50
MBR-00243,1963-12-13,1990-04-18,,,2028-06-01,2028-06-01,lay,js50
MBR-00244,1950-03-25,1986-05-12,,,2010-12-01,2010-12-01,clergy,none
MBR-00245,1961-12-23,1985-02-19,,,2026-01-01,2026-01-01,clergy,none
MBR-00246,1972-02-20,2003-10-15,,,2036-06-01,2036-06-01,lay,none
MBR-00247,1959-11-27,2002-02-03,,,2020-11-01,2020-11-01,lay,js100
MBR-00248,1961-08-04,1994-08-20,,,,,clergy,none
MBR-00249,1952-01-02,1985-09-06,,,,,lay,js50
MBR-00250,1963-09-26,1994-09-28,,,2026-03-01,2026-03-01,lay,js100
MBR-00251,1962-05-05,2004-10-27,,,2026-09-01,2026-09-01,clergy,js50
MBR-00252,1970-08-26,2010-05-04,,,2033-08-01,2033-08-01,clergy,js50
MBR-00253,1967-07-10,2010-04-06,,,2031-02-01,2031-02-01,clergy,js50
MBR-00254,1972-03-13,2008-09-25,,,,,lay,none
MBR-00255,1952-08-12,1988-11-25,,,2019-12-01,2019-12-01,clergy,js100
MBR-00256,1972-02-07,2003-11-19,,,2043-02-01,2043-02-01,clergy,js50
MBR-00257,1949-01-20,1979-03-09,,,2015-07-01,2015-07-01,lay,js100
MBR-00258,1970-07-17,2001-04-10,,,2036-06-01,2036-06-01,lay,js50
MBR-00259,1962-12-09,1994-03-03,,,,,lay,js100
MBR-00260,1957-10-06,1992-08-22,,,2026-12-01,2026-12-01,lay,js100
MBR-00261,1964-01-25,1989-04-04,,,2033-04-01,2033-04-01,clergy,none
MBR-00262,1953-02-09,1993-03-16,,,2021-10-01,2021-10-01,clergy,js100
MBR-00263,1955-02-24,1985-12-26,,,2018-01-01,2018-01-01,lay,none
MBR-00264,1953-10-14,1991-02-14,,,,,clergy,js100
MBR-00265,1958-06-14,1985-11-05,,,2023-04-01,2023-04-01,clergy,js100
MBR-00266,1971-05-18,1998-08-27,,,2039-04-01,2039-04-01,clergy,none
MBR-00267,1953-10-01,1983-04-04,,,2020-08-01,2020-08-01,clergy,none
MBR-00268,1950-05-05,1989-01-09,,,,,clergy,none
MBR-00269,1967-10-05,2007-05-11,,,2032-11-01,2032-11-01,lay,none
MBR-00270,1966-03-01,2000-11-08,,,2029-04-01,2029-04-01,clergy,js50
MBR-00271,1970-10-13,2005-01-08,,,2030-02-01,2030-02-01,clergy,none
MBR-00272,1948-10-13,1986-07-23,,,2013-12-01,2013-12-01,lay,js50
MBR-00273,1963-12-04,1992-02-12,,,2032-03-01,2032-03-01,lay,js50
MBR-00274,1957-12-04,2000-08-14,,,2024-07-01,2024-07-01,clergy,js50
MBR-00275,1965-09-23,1994-12-12,,,2033-07-01,2033-07-01,lay,js50
MBR-00276,1969-08-18,2006-06-06,,,,,lay,none
MBR-00277,1951-07-19,1986-03-06,,,2016-04-01,2016-04-01,lay,js50
MBR-00278,1973-06-10,2012-02-23,,,,,lay,js100
MBR-00279,1972-02-27,2000-01-23,,,2037-04-01,2037-04-01,lay,js100
MBR-00280,1950-08-20,1989-05-28,,,2011-09-01,2011-09-01,clergy,js100
MBR-00281,1951-05-12,1976-08-22,,,2020-08-01,2020-08-01,lay,js100
MBR-00282,1954-06-21,1980-02-04,,,2021-04-01,2021-04-01,clergy,js50
MBR-00283,1960-02-21,1999-06-09,,,2026-04-01,2026-04-01,clergy,js50
MBR-00284,1959-04-20,1992-02-24,,,2020-08-01,2020-08-01,lay,js100
MBR-00285,1961-10-09,1998-01-05,,,2030-03-01,2030-03-01,clergy,js100
MBR-00286,1970-11-21,1998-01-12,,,,,clergy,js100
MBR-00287,1973-01-18,2014-03-20,,,2043-06-01,2043-06-01,clergy,js100
MBR-00288,1954-02-21,1993-04-09,,,,,lay,js50
MBR-00289,1946-02-27,1977-10-21,,,2011-06-01,2011-06-01,clergy,none
MBR-00290,1974-03-20,2001-03-27,,,2035-12-01,2035-12-01,clergy,js50
MBR-00291,1964-02-18,1990-09-01,,,2030-03-01,2030-03-01,clergy,none
MBR-00292,1946-01-03,1970-04-12,,,2007-03-01,2007-03-01,lay,js100
MBR-00293,1958-12-05,1984-08-12,,,,,lay,js50
MBR-00294,1962-12-01,1990-08-24,,,2032-09-01,2032-09-01,clergy,js50
MBR-00295,1953-04-23,1996-05-17,,,2018-12-01,2018-12-01,clergy,none
MBR-00296,1947-01-17,1978-06-01,,,,,lay,js100
MBR-00297,1967-09-22,1993-08-07,,,2028-08-01,2028-08-01,clergy,js100
MBR-00298,1967-01-01,2002-11-06,,,2034-04-01,2034-04-01,lay,none
MBR-00299,1946-06-05,1971-05-25,,,2010-10-01,2010-10-01,clergy,js50
MBR-00300,1949-08-24,1991-01-03,,,,,clergy,js50
MBR-00301,1951-02-15,1986-05-03,,,2021-06-01,2021-06-01,lay,js50
MBR-00302,1949-06-20,1975-04-22,,,2015-11-01,2015-11-01,clergy,none
MBR-00303,1951-08-23,1977-11-28,,,2014-11-01,2014-11-01,clergy,js50
MBR-00304,1947-12-06,1982-09-25,,,,,lay,js50
MBR-00305,1967-09-25,2004-04-18,,,2027-12-01,2027-12-01,lay,js100
MBR-00306,1946-03-08,1975-09-09,,,2014-03-01,2014-03-01,lay,js100
MBR-00307,1957-02-22,1999-07-18,,,2020-04-01,2020-04-01,lay,js100
MBR-00308,1960-08-23,1985-03-18,,,2022-10-01,2022-10-01,lay,js100
MBR-00309,1950-05-28,1981-05-05,,,2018-10-01,2018-10-01,clergy,none
MBR-00310,1948-06-16,1990-10-19,,,2019-03-01,2019-03-01,lay,none
MBR-00311,1952-08-09,1983-10-02,,,2017-07-01,2017-07-01,lay,none
MBR-00312,1958-04-27,1989-04-02,,,,,lay,js100
MBR-00313,1975-09-02,2010-10-24,,,2041-08-01,2041-08-01,lay,js50
MBR-00314,1972-09-22,1997-01-27,,,2036-01-01,2036-01-01,lay,js50
MBR-00315,1959-01-18,1988-04-25,,,2019-07-01,2019-07-01,clergy,js50
MBR-00316,1970-01-04,1994-04-13,,,,,lay,js100
MBR-00317,1965-09-11,1998-06-03,,,,,clergy,js50
MBR-00318,1970-08-02,2012-12-03,,,,,lay,js100
MBR-00319,1952-04-26,1979-05-07,,,2016-06-01,2016-06-01,clergy,js50
MBR-00320,1957-07-06,1996-04-21,,,,,lay,js50
MBR-00321,1974-07-14,2016-02-22,,,2044-01-01,2044-01-01,lay,js100
MBR-00322,1950-01-07,1974-01-08,,,,,lay,js100
MBR-00323,1972-07-22,2015-09-08,,,2042-10-01,2042-10-01,clergy,js50
MBR-00324,1957-03-28,1993-08-02,,,,,clergy,js50
MBR-00325,1973-11-21,2001-10-22,,,,,lay,js100
MBR-00326,1971-04-04,2001-07-28,,,,,clergy,js100
MBR-00327,1974-10-19,2004-02-01,,,2042-05-01,2042-05-01,clergy,js100
MBR-00328,1966-07-02,1990-09-28,,,2033-03-01,2033-03-01,clergy,none
MBR-00329,1951-03-24,1992-02-06,,,2020-09-01,2020-09-01,clergy,js50
MBR-00330,1956-07-05,1989-01-19,,,,,clergy,js50
MBR-00331,1955-01-22,1983-06-16,,,2016-09-01,2016-09-01,lay,none
MBR-00332,1964-01-01,1988-09-21,,,2026-07-01,2026-07-01,clergy,js50
MBR-00333,1956-04-12,1997-07-11,,,2026-07-01,2026-07-01,lay,js50
MBR-00334,1967-12-18,2001-11-18,,,2037-09-01,2037-09-01,lay,none
MBR-00335,1947-12-14,1986-11-07,,,,,lay,js100
MBR-00336,1951-12-20,1984-08-05,,,2019-05-01,2019-05-01,clergy,js50
MBR-00337,1958-11-05,1984-11-20,,,2020-05-01,2020-05-01,clergy,js100
MBR-00338,1947-04-25,1986-10-13,,,,,clergy,js50
MBR-00339,1946-03-23,1982-02-01,,,,,clergy,js100
MBR-00340,1961-12-08,1987-01-16,,,,,clergy,js50
MBR-00341,1961-07-01,1996-05-23,,,2030-09-01,2030-09-01,lay,js50
MBR-00342,1949-03-15,1975-04-19,,,2016-08-01,2016-08-01,lay,none
MBR-00343,1974-06-22,2016-02-13,,,,,clergy,js50
MBR-00344,1972-11-27,2003-06-09,,,2033-03-01,2033-03-01,lay,none
MBR-00345,1954-12-25,1988-05-21,,,,,clergy,js50
MBR-00346,1968-12-20,1995-02-08,,,2028-04-01,2028-04-01,lay,js50
MBR-00347,1968-09-27,2005-05-12,,,2039-04-01,2039-04-01,clergy,js50
